instance,algorithm,run,makespan,time
MK11,ACSi,10,878,222
MK11,ACSi,11,981,222
MK11,ACSi,12,938,220
MK11,ACSi,13,938,216
MK11,ACSi,14,968,253
MK11,ACSi,15,956,220
MK11,ACSi,16,942,284
MK11,ACSi,17,913,218
MK11,ACSi,18,908,223
MK11,ACSi,19,941,216
MK11,ACSi,20,999,270
MK11,ACSi,21,926,239
MK11,ACSi,22,999,218
MK11,ACSi,23,891,217
MK11,ACSi,24,944,220
MK11,ACSi,25,885,234
MK11,ACSi,26,998,256
MK11,ACSi,27,962,234
MK11,ACSi,28,937,233
MK11,ACSi,29,948,219
MK11,ACSi,30,949,217
MK11,ACSp,1,946,157
MK11,ACSp,2,943,194
MK11,ACSp,3,929,185
MK11,ACSp,4,980,162
MK11,ACSp,5,971,163
MK11,ACSp,6,923,171
MK11,ACSp,7,946,162
MK11,ACSp,8,899,162
MK11,ACSp,9,947,176
MK11,ACSp,10,942,132
MK11,ACSp,11,869,90
MK11,ACSp,12,999,78
MK11,ACSp,13,890,74
MK11,ACSp,14,933,76
MK11,ACSp,15,974,70
MK11,ACSp,16,893,72
MK11,ACSp,17,949,69
MK11,ACSp,18,918,68
MK11,ACSp,19,987,76
MK11,ACSp,20,936,75
MK11,ACSp,21,933,78
MK11,ACSp,22,895,84
MK11,ACSp,23,977,70
MK11,ACSp,24,949,70
MK11,ACSp,25,930,69
MK11,ACSp,26,997,78
MK11,ACSp,27,928,69
MK11,ACSp,28,928,70
MK11,ACSp,29,889,71
MK11,ACSp,30,967,79
MK11,ECT,1,947,2
MK11,ECT,2,947,2
MK11,ECT,3,947,2
MK11,ECT,4,947,2
MK11,ECT,5,947,2
MK11,ECT,6,947,2
MK11,ECT,7,947,2
MK11,ECT,8,947,1
MK11,ECT,9,947,1
MK11,ECT,10,947,1
MK11,ECT,11,947,1
MK11,ECT,12,947,1
MK11,ECT,13,947,1
MK11,ECT,14,947,2
MK11,ECT,15,947,1
MK11,ECT,16,947,1
MK11,ECT,17,947,1
MK11,ECT,18,947,1
MK11,ECT,19,947,1
MK11,ECT,20,947,1
MK11,ECT,21,947,1
MK11,ECT,22,947,2
MK11,ECT,23,947,1
MK11,ECT,24,947,1
MK11,ECT,25,947,1
MK11,ECT,26,947,1
MK11,ECT,27,947,1
MK11,ECT,28,947,1
MK11,ECT,29,947,1
MK11,ECT,30,947,1
MK12,ACSi,1,842,654
MK12,ACSi,2,716,290
MK12,ACSi,3,836,278
MK12,ACSi,4,774,220
MK12,ACSi,5,814,221
MK12,ACSi,6,848,253
MK12,ACSi,7,729,255
MK12,ACSi,8,862,268
MK12,ACSi,9,849,236
MK12,ACSi,10,824,238
MK12,ACSi,11,794,237
MK12,ACSi,12,809,233
MK12,ACSi,13,778,240
MK12,ACSi,14,894,223
MK12,ACSi,15,855,219
MK12,ACSi,16,796,220
MK12,ACSi,17,787,219
MK12,ACSi,18,871,219
MK12,ACSi,19,829,251
MK12,ACSi,20,810,256
MK12,ACSi,21,758,235
MK12,ACSi,22,861,234
MK12,ACSi,23,848,233
MK12,ACSi,24,846,234
MK12,ACSi,25,819,250
MK12,ACSi,26,833,253
MK12,ACSi,27,880,235
MK12,ACSi,28,806,242
MK12,ACSi,29,727,218
MK12,ACSi,30,876,219
MK12,ACSp,1,783,164
MK12,ACSp,2,877,299
MK12,ACSp,3,810,163
MK12,ACSp,4,821,199
MK12,ACSp,5,821,168
MK12,ACSp,6,779,183
MK12,ACSp,7,826,162
MK12,ACSp,8,844,173
MK12,ACSp,9,815,163
MK12,ACSp,10,875,117
MK12,ACSp,11,822,90
MK12,ACSp,12,890,97
MK12,ACSp,13,845,80
MK12,ACSp,14,791,80
MK12,ACSp,15,797,74
MK12,ACSp,16,833,77
MK12,ACSp,17,824,78
MK12,ACSp,18,832,76
MK12,ACSp,19,818,80
MK12,ACSp,20,779,72
MK12,ACSp,21,800,85
MK12,ACSp,22,870,74
MK12,ACSp,23,899,73
MK12,ACSp,24,856,72
MK12,ACSp,25,875,78
MK12,ACSp,26,839,71
MK12,ACSp,27,861,79
MK12,ACSp,28,831,78
MK12,ACSp,29,786,87
MK12,ACSp,30,820,72
MK12,ECT,1,915,2
MK12,ECT,2,915,2
MK12,ECT,3,915,2
MK12,ECT,4,915,2
MK12,ECT,5,915,2
MK12,ECT,6,915,2
MK12,ECT,7,915,1
MK12,ECT,8,915,1
MK12,ECT,9,915,1
MK12,ECT,10,915,2
MK12,ECT,11,915,1
MK12,ECT,12,915,1
MK12,ECT,13,915,2
MK12,ECT,14,915,1
MK12,ECT,15,915,1
MK12,ECT,16,915,1
MK12,ECT,17,915,1
MK12,ECT,18,915,1
MK12,ECT,19,915,1
MK12,ECT,20,915,2
MK12,ECT,21,915,1
MK12,ECT,22,915,1
MK12,ECT,23,915,1
MK12,ECT,24,915,1
MK12,ECT,25,915,1
MK12,ECT,26,915,1
MK12,ECT,27,915,1
MK12,ECT,28,915,2
MK12,ECT,29,915,1
MK12,ECT,30,915,1
MK13,ACSi,1,868,969
MK13,ACSi,2,931,516
MK13,ACSi,3,916,549
MK13,ACSi,4,890,538
MK13,ACSi,5,866,509
MK13,ACSi,6,836,586
MK13,ACSi,7,923,560
MK13,ACSi,8,927,508
MK13,ACSi,9,918,477
MK13,ACSi,10,884,535
MK13,ACSi,11,855,478
