instance,algorithm,run,makespan,time
MFJS1,ACSi,11,507,16
MFJS1,ACSi,12,555,35
MFJS1,ACSi,13,495,25
MFJS1,ACSi,14,540,31
MFJS1,ACSi,15,541,25
MFJS1,ACSi,16,555,20
MFJS1,ACSi,17,541,35
MFJS1,ACSi,18,498,35
MFJS1,ACSi,19,495,17
MFJS1,ACSi,20,532,18
MFJS1,ACSi,21,525,31
MFJS1,ACSi,22,530,49
MFJS1,ACSi,23,551,30
MFJS1,ACSi,24,567,28
MFJS1,ACSi,25,502,24
MFJS1,ACSi,26,524,26
MFJS1,ACSi,27,555,51
MFJS1,ACSi,28,570,46
MFJS1,ACSi,29,560,33
MFJS1,ACSi,30,554,25
MFJS1,ACSp,1,555,30
MFJS1,ACSp,2,554,13
MFJS1,ACSp,3,565,16
MFJS1,ACSp,4,509,13
MFJS1,ACSp,5,520,10
MFJS1,ACSp,6,541,12
MFJS1,ACSp,7,500,14
MFJS1,ACSp,8,500,10
MFJS1,ACSp,9,605,6
MFJS1,ACSp,10,533,9
MFJS1,ACSp,11,541,20
MFJS1,ACSp,12,565,14
MFJS1,ACSp,13,530,16
MFJS1,ACSp,14,503,13
MFJS1,ACSp,15,553,13
MFJS1,ACSp,16,555,11
MFJS1,ACSp,17,500,18
MFJS1,ACSp,18,575,16
MFJS1,ACSp,19,541,13
MFJS1,ACSp,20,533,18
MFJS1,ACSp,21,565,13
MFJS1,ACSp,22,525,17
MFJS1,ACSp,23,553,11
MFJS1,ACSp,24,509,20
MFJS1,ACSp,25,514,13
MFJS1,ACSp,26,554,12
MFJS1,ACSp,27,509,19
MFJS1,ACSp,28,584,11
MFJS1,ACSp,29,565,16
MFJS1,ACSp,30,541,13
MFJS1,ECT,1,785,0
MFJS1,ECT,2,785,0
MFJS1,ECT,3,785,0
MFJS1,ECT,4,785,0
MFJS1,ECT,5,785,0
MFJS1,ECT,6,785,0
MFJS1,ECT,7,785,0
MFJS1,ECT,8,785,0
MFJS1,ECT,9,785,0
MFJS1,ECT,10,785,0
MFJS1,ECT,11,785,0
MFJS1,ECT,12,785,0
MFJS1,ECT,13,785,0
MFJS1,ECT,14,785,0
MFJS1,ECT,15,785,0
MFJS1,ECT,16,785,0
MFJS1,ECT,17,785,0
MFJS1,ECT,18,785,0
MFJS1,ECT,19,785,0
MFJS1,ECT,20,785,0
MFJS1,ECT,21,785,0
MFJS1,ECT,22,785,0
MFJS1,ECT,23,785,0
MFJS1,ECT,24,785,0
MFJS1,ECT,25,785,0
MFJS1,ECT,26,785,0
MFJS1,ECT,27,785,0
MFJS1,ECT,28,785,0
MFJS1,ECT,29,785,0
MFJS1,ECT,30,785,0
MFJS2,ACSi,1,508,59
MFJS2,ACSi,2,536,29
MFJS2,ACSi,3,540,18
MFJS2,ACSi,4,545,27
MFJS2,ACSi,5,518,24
MFJS2,ACSi,6,532,41
MFJS2,ACSi,7,576,15
MFJS2,ACSi,8,527,21
MFJS2,ACSi,9,527,51
MFJS2,ACSi,10,547,35
MFJS2,ACSi,11,536,22
MFJS2,ACSi,12,528,23
MFJS2,ACSi,13,547,75
MFJS2,ACSi,14,481,23
MFJS2,ACSi,15,523,31
MFJS2,ACSi,16,542,24
MFJS2,ACSi,17,538,22
MFJS2,ACSi,18,491,23
MFJS2,ACSi,19,536,29
MFJS2,ACSi,20,572,37
MFJS2,ACSi,21,517,21
MFJS2,ACSi,22,511,27
MFJS2,ACSi,23,524,51
MFJS2,ACSi,24,522,51
MFJS2,ACSi,25,527,21
MFJS2,ACSi,26,502,33
MFJS2,ACSi,27,536,34
MFJS2,ACSi,28,525,40
MFJS2,ACSi,29,493,35
MFJS2,ACSi,30,515,24
MFJS2,ACSp,1,540,37
MFJS2,ACSp,2,540,10
MFJS2,ACSp,3,554,10
MFJS2,ACSp,4,492,25
MFJS2,ACSp,5,533,24
MFJS2,ACSp,6,573,13
MFJS2,ACSp,7,541,9
MFJS2,ACSp,8,507,11
MFJS2,ACSp,9,548,19
MFJS2,ACSp,10,547,19
MFJS2,ACSp,11,508,26
MFJS2,ACSp,12,540,10
MFJS2,ACSp,13,536,29
MFJS2,ACSp,14,530,19
MFJS2,ACSp,15,510,24
MFJS2,ACSp,16,536,12
MFJS2,ACSp,17,495,12
MFJS2,ACSp,18,574,13
MFJS2,ACSp,19,545,13
MFJS2,ACSp,20,533,12
MFJS2,ACSp,21,550,18
MFJS2,ACSp,22,533,17
MFJS2,ACSp,23,530,20
MFJS2,ACSp,24,502,14
MFJS2,ACSp,25,500,15
MFJS2,ACSp,26,472,16
MFJS2,ACSp,27,539,19
MFJS2,ACSp,28,539,13
MFJS2,ACSp,29,528,13
MFJS2,ACSp,30,545,17
MFJS2,ECT,1,585,0
MFJS2,ECT,2,585,0
MFJS2,ECT,3,585,0
MFJS2,ECT,4,585,0
MFJS2,ECT,5,585,0
MFJS2,ECT,6,585,0
MFJS2,ECT,7,585,0
MFJS2,ECT,8,585,0
MFJS2,ECT,9,585,0
MFJS2,ECT,10,585,0
MFJS2,ECT,11,585,0
MFJS2,ECT,12,585,0
MFJS2,ECT,13,585,0
MFJS2,ECT,14,585,0
MFJS2,ECT,15,585,0
MFJS2,ECT,16,585,0
MFJS2,ECT,17,585,0
MFJS2,ECT,18,585,0
MFJS2,ECT,19,585,0
MFJS2,ECT,20,585,0
MFJS2,ECT,21,585,0
MFJS2,ECT,22,585,0
MFJS2,ECT,23,585,0
MFJS2,ECT,24,585,0
MFJS2,ECT,25,585,0
MFJS2,ECT,26,585,0
MFJS2,ECT,27,585,0
MFJS2,ECT,28,585,0
MFJS2,ECT,29,585,0
MFJS2,ECT,30,585,0
MFJS3,ACSi,1,603,62
MFJS3,ACSi,2,540,41
MFJS3,ACSi,3,592,29
MFJS3,ACSi,4,623,30
MFJS3,ACSi,5,615,36
MFJS3,ACSi,6,616,32
MFJS3,ACSi,7,574,42
MFJS3,ACSi,8,657,39
MFJS3,ACSi,9,560,26
MFJS3,ACSi,10,595,29
MFJS3,ACSi,11,559,36
MFJS3,ACSi,12,621,47
MFJS3,ACSi,13,651,36
MFJS3,ACSi,14,613,66
MFJS3,ACSi,15,663,33
MFJS3,ACSi,16,627,39
MFJS3,ACSi,17,598,36
MFJS3,ACSi,18,624,49
MFJS3,ACSi,19,598,67
MFJS3,ACSi,20,619,27
MFJS3,ACSi,21,580,34
MFJS3,ACSi,22,598,50
MFJS3,ACSi,23,618,35
MFJS3,ACSi,24,613,35
MFJS3,ACSi,25,572,42
MFJS3,ACSi,26,568,37
MFJS3,ACSi,27,652,26
MFJS3,ACSi,28,619,62
MFJS3,ACSi,29,628,30
MFJS3,ACSi,30,591,72
MFJS3,ACSp,1,644,32
MFJS3,ACSp,2,594,15
MFJS3,ACSp,3,599,12
MFJS3,ACSp,4,588,13
MFJS3,ACSp,5,656,16
MFJS3,ACSp,6,625,16
MFJS3,ACSp,7,623,23
MFJS3,ACSp,8,588,14
MFJS3,ACSp,9,632,15
MFJS3,ACSp,10,591,16
MFJS3,ACSp,11,674,17
MFJS3,ACSp,12,605,25
MFJS3,ACSp,13,638,20
MFJS3,ACSp,14,623,32
MFJS3,ACSp,15,657,13
MFJS3,ACSp,16,654,22
MFJS3,ACSp,17,633,26
MFJS3,ACSp,18,599,14
MFJS3,ACSp,19,623,13
MFJS3,ACSp,20,643,27
MFJS3,ACSp,21,536,17
MFJS3,ACSp,22,601,31
MFJS3,ACSp,23,612,13
MFJS3,ACSp,24,570,13
MFJS3,ACSp,25,642,13
MFJS3,ACSp,26,598,20
MFJS3,ACSp,27,621,21
MFJS3,ACSp,28,559,30
MFJS3,ACSp,29,591,25
MFJS3,ACSp,30,629,23
MFJS3,ECT,1,839,0
MFJS3,ECT,2,839,0
MFJS3,ECT,3,839,0
MFJS3,ECT,4,839,0
MFJS3,ECT,5,839,0
MFJS3,ECT,6,839,0
MFJS3,ECT,7,839,0
MFJS3,ECT,8,839,0
MFJS3,ECT,9,839,0
MFJS3,ECT,10,839,0
MFJS3,ECT,11,839,0
MFJS3,ECT,12,839,0
MFJS3,ECT,13,839,0
MFJS3,ECT,14,839,0
MFJS3,ECT,15,839,0
MFJS3,ECT,16,839,0
MFJS3,ECT,17,839,0
MFJS3,ECT,18,839,0
MFJS3,ECT,19,839,0
MFJS3,ECT,20,839,0
MFJS3,ECT,21,839,0
MFJS3,ECT,22,839,0
MFJS3,ECT,23,839,0
MFJS3,ECT,24,839,0
MFJS3,ECT,25,839,0
MFJS3,ECT,26,839,0
MFJS3,ECT,27,839,0
MFJS3,ECT,28,839,0
MFJS3,ECT,29,839,0
MFJS3,ECT,30,839,0
MFJS4,ACSi,1,817,41
MFJS4,ACSi,2,710,51
MFJS4,ACSi,3,760,24
MFJS4,ACSi,4,662,93
MFJS4,ACSi,5,767,36
MFJS4,ACSi,6,750,35
MFJS4,ACSi,7,824,40
MFJS4,ACSi,8,724,51
MFJS4,ACSi,9,669,70
MFJS4,ACSi,10,727,47
MFJS4,ACSi,11,733,40
MFJS4,ACSi,12,771,79
MFJS4,ACSi,13,741,73
MFJS4,ACSi,14,713,52
MFJS4,ACSi,15,764,49
MFJS4,ACSi,16,749,65
MFJS4,ACSi,17,721,65
MFJS4,ACSi,18,726,42
MFJS4,ACSi,19,655,64
MFJS4,ACSi,20,763,39
MFJS4,ACSi,21,704,17
MFJS4,ACSi,22,718,20
MFJS4,ACSi,23,696,32
MFJS4,ACSi,24,712,33
MFJS4,ACSi,25,750,27
MFJS4,ACSi,26,750,24
MFJS4,ACSi,27,719,18
MFJS4,ACSi,28,763,19
MFJS4,ACSi,29,771,18
MFJS4,ACSi,30,720,18
MFJS4,ACSp,1,737,40
MFJS4,ACSp,2,688,27
MFJS4,ACSp,3,735,13
MFJS4,ACSp,4,698,31
MFJS4,ACSp,5,662,31
MFJS4,ACSp,6,695,20
MFJS4,ACSp,7,771,19
MFJS4,ACSp,8,744,24
MFJS4,ACSp,9,687,15
MFJS4,ACSp,10,795,17
MFJS4,ACSp,11,698,29
MFJS4,ACSp,12,755,31
