Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
BrandimarteMk1;iterative;ACSV0;67;73,70;83;4,39;997;1559,20;2582;425,19
BrandimarteMk1;iterative;greedy;68;68,00;68;0,00;0;0,00;0;0,00
BrandimarteMk1;parallel;ACSV0;63;72,87;83;4,32;248;448,23;869;169,30
BrandimarteMk10;iterative;greedy;826;826,00;826;0,00;1;1,33;3;0,55
BrandimarteMk10;iterative;ACSV0;596;655,57;705;24,60;108091;123492,13;187412;19664,96
BrandimarteMk10;parallel;ACSV0;562;655,10;690;23,88;26430;28707,63;51223;4531,60
BrandimarteMk11;iterative;ACSV0;934;991,67;1054;30,60;11142;14359,00;20100;3024,26
BrandimarteMk11;parallel;ACSV0;922;989,67;1035;31,99;2856;3642,97;9158;1270,75
BrandimarteMk11;iterative;greedy;1307;1307,00;1307;0,00;1;1,43;2;0,50
BrandimarteMk12;iterative;ACSV0;847;897,03;958;27,63;19191;28765,50;52574;8041,88
BrandimarteMk12;parallel;ACSV0;801;907,63;957;35,76;4753;6223,30;10083;1314,83
BrandimarteMk12;iterative;greedy;1093;1093,00;1093;0,00;1;1,33;2;0,48
BrandimarteMk13;parallel;ACSV0;928;995,93;1057;37,05;23950;30009,00;44032;5862,22
BrandimarteMk13;iterative;greedy;1034;1034,00;1034;0,00;2;2,50;4;0,57
BrandimarteMk13;iterative;ACSV0;899;997,13;1053;33,80;97164;132611,03;269339;38527,71
BrandimarteMk14;iterative;ACSV0;1372;1462,00;1553;47,15;70981;90799,00;231324;29542,85
BrandimarteMk14;iterative;greedy;1952;1952,00;1952;0,00;2;2,23;4;0,50
BrandimarteMk14;parallel;ACSV0;1393;1453,53;1521;38,08;15946;20160,90;35605;4968,59
BrandimarteMk15;iterative;ACSV0;893;961,03;1028;33,49;130235;145995,73;259715;27876,11
BrandimarteMk15;iterative;greedy;1424;1424,00;1424;0,00;2;2,33;4;0,55
BrandimarteMk15;parallel;ACSV0;874;950,60;1023;42,03;30753;36219,17;57576;6692,39
BrandimarteMk2;iterative;ACSV0;58;66,07;70;2,75;2709;4461,63;8446;1660,69
BrandimarteMk2;iterative;greedy;68;68,00;68;0,00;0;0,00;0;0,00
BrandimarteMk2;parallel;ACSV0;57;65,47;72;3,66;696;1130,50;2508;404,42
BrandimarteMk3;parallel;ACSV0;364;425,93;472;26,32;3690;4735,23;8669;1056,31
BrandimarteMk3;iterative;ACSV0;396;429,47;466;16,18;14673;20084,00;36522;5674,04
BrandimarteMk3;iterative;greedy;549;549,00;549;0,00;0;0,53;2;0,57
BrandimarteMk4;parallel;ACSV0;124;137,17;149;5,78;877;1352,07;2727;427,35
BrandimarteMk4;iterative;greedy;150;150,00;150;0,00;0;0,03;1;0,18
BrandimarteMk4;iterative;ACSV0;124;138,67;149;6,01;3686;5602,97;10206;1818,05
BrandimarteMk5;iterative;greedy;340;340,00;340;0,00;0;0,03;1;0,18
BrandimarteMk5;iterative;ACSV0;255;274,53;292;6,72;2524;3257,53;5083;672,15
BrandimarteMk5;parallel;ACSV0;257;275,67;297;7,87;627;800,93;1249;211,18
BrandimarteMk6;iterative;ACSV0;202;227,83;250;10,64;15668;18285,47;29937;3051,77
BrandimarteMk6;iterative;greedy;242;242,00;242;0,00;0;0,27;2;0,52
BrandimarteMk6;parallel;ACSV0;209;228,80;246;9,32;3824;4456,20;7335;878,64
BrandimarteMk7;iterative;greedy;303;303,00;303;0,00;0;0,43;1;0,50
BrandimarteMk7;iterative;ACSV0;269;336,97;368;19,17;7073;8973,13;13965;1969,14
BrandimarteMk7;parallel;ACSV0;287;334,77;382;18,51;1763;2438,40;5283;730,33
BrandimarteMk8;iterative;greedy;1222;1222,00;1222;0,00;1;1,07;2;0,25
BrandimarteMk8;iterative;ACSV0;841;940,63;1007;36,70;17828;22140,20;36371;6304,00
BrandimarteMk8;parallel;ACSV0;863;945,07;1020;31,82;3997;4668,97;7174;795,28
BrandimarteMk9;iterative;greedy;1142;1142,00;1142;0,00;1;1,07;2;0,25
BrandimarteMk9;parallel;ACSV0;697;750,83;797;23,39;9674;11182,93;21746;2441,21
BrandimarteMk9;iterative;ACSV0;696;750,30;793;27,69;39997;45813,83;75558;6600,18
