Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi1;parallel;ASV2;66;80,07;118;13,63;1;2,43;16;2,61
Fattahi1;iterative;ACSV2;66;66,00;66;0,00;2;2,73;13;2,00
Fattahi1;iterative;MMASV2;66;66,00;66;0,00;1;2,03;14;2,36
Fattahi1;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi1;parallel;RBASV2;66;74,37;91;10,48;2;3,23;22;3,65
Fattahi1;parallel;EASV2;66;79,90;91;11,66;1;1,77;17;2,91
Fattahi1;parallel;MMASV2;66;66,67;86;3,65;1;2,60;17;2,87
Fattahi1;parallel;ACSV2;66;66,00;66;0,00;2;3,70;19;2,93
Fattahi1;iterative;ASV2;66;74,87;91;11,14;0;0,77;11;2,03
Fattahi1;iterative;EASV2;66;75,77;91;11,47;0;1,33;12;2,04
Fattahi1;iterative;RBASV2;66;72,87;89;9,90;0;1,50;14;2,40
Fattahi10;iterative;greedy;608;608,00;608;0,00;0;0,00;0;0,00
Fattahi10;parallel;RBASV2;516;543,83;608;29,38;7;13,77;34;5,71
Fattahi10;iterative;ACSV2;533;538,40;578;12,47;7;15,60;30;5,59
Fattahi10;parallel;ASV2;516;556,13;676;43,87;5;10,17;23;3,93
Fattahi10;iterative;ASV2;516;556,10;693;46,23;3;8,00;17;2,98
Fattahi10;iterative;EASV2;516;562,37;626;35,46;4;7,00;25;3,97
Fattahi10;parallel;ACSV2;516;544,57;605;22,26;6;11,83;29;5,45
Fattahi10;parallel;EASV2;516;568,33;698;49,18;5;8,73;32;4,83
Fattahi10;iterative;RBASV2;516;553,37;626;33,16;5;10,97;24;4,64
Fattahi10;iterative;MMASV2;516;560,50;676;39,49;4;13,43;27;6,76
Fattahi10;parallel;MMASV2;516;560,93;661;38,76;6;14,70;41;8,77
Fattahi11;iterative;ASV2;495;547,30;579;20,26;8;16,53;37;7,03
Fattahi11;iterative;greedy;783;783,00;783;0,00;0;0,00;0;0,00
Fattahi11;iterative;EASV2;490;546,33;611;26,85;8;18,83;47;10,16
Fattahi11;parallel;EASV2;491;548,13;620;35,34;7;13,80;26;4,68
Fattahi11;parallel;RBASV2;470;536,80;596;28,04;10;23,87;45;11,39
Fattahi11;parallel;MMASV2;522;567,07;647;26,80;7;18,00;40;8,85
Fattahi11;iterative;ACSV2;495;538,77;578;23,09;13;27,20;51;9,60
Fattahi11;parallel;ACSV2;500;539,90;605;27,30;6;14,33;30;4,44
Fattahi11;parallel;ASV2;491;550,83;629;29,67;8;12,23;36;5,60
Fattahi11;iterative;MMASV2;495;579,80;638;30,89;9;17,83;53;9,90
Fattahi11;iterative;RBASV2;479;537,70;613;24,52;12;25,27;48;10,25
Fattahi12;parallel;EASV2;486;533,03;600;28,97;6;13,87;50;7,93
Fattahi12;parallel;ASV2;477;537,77;600;32,54;9;15,23;35;5,98
Fattahi12;parallel;RBASV2;462;522,03;574;30,17;9;26,23;53;11,81
Fattahi12;iterative;EASV2;470;531,50;623;35,55;8;16,30;29;5,19
Fattahi12;iterative;RBASV2;470;527,43;594;25,76;10;28,93;66;12,82
Fattahi12;iterative;MMASV2;470;558,10;630;40,60;10;20,43;39;8,56
