Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi15;iterative;ACSV1;776;883,90;1058;59,67;32;86,10;279;57,26
Fattahi15;parallel;EASV1;805;922,53;1063;61,43;91;179,63;670;123,66
Fattahi15;iterative;greedy;875;875,00;875;0,00;0;0,00;0;0,00
Fattahi15;parallel;ASV1;838;962,23;1084;59,91;82;141,57;477;80,56
Fattahi15;iterative;EASV1;771;918,50;1025;55,33;108;191,10;651;111,51
Fattahi15;parallel;MMASV1;834;905,37;1027;46,38;23;56,53;121;26,13
Fattahi15;iterative;ASV1;849;958,10;1046;56,85;110;184,90;398;74,79
Fattahi15;parallel;RBASV1;805;898,00;974;41,05;68;162,60;575;106,79
Fattahi15;parallel;ACSV1;806;912,83;994;46,62;23;51,30;99;21,81
Fattahi15;iterative;MMASV1;795;900,13;1027;44,21;21;61,53;194;46,73
Fattahi15;iterative;RBASV1;815;921,10;1058;54,42;73;148,93;420;78,92
Fattahi16;iterative;ASV1;920;1154,80;1242;71,27;143;239,37;688;112,32
Fattahi16;iterative;MMASV1;955;1077,20;1218;66,82;32;86,23;292;60,14
Fattahi16;parallel;MMASV1;971;1088,93;1169;47,01;26;57,17;112;25,18
Fattahi16;iterative;RBASV1;987;1104,80;1196;56,31;102;191,47;555;94,19
Fattahi16;iterative;ACSV1;860;1049,33;1203;86,14;39;102,57;407;80,33
Fattahi16;parallel;ACSV1;930;1056,13;1271;78,71;20;63,07;161;35,96
Fattahi16;parallel;RBASV1;962;1106,47;1230;55,98;84;175,13;457;93,00
Fattahi16;iterative;greedy;1294;1294,00;1294;0,00;0;0,00;0;0,00
Fattahi16;parallel;EASV1;1003;1124,43;1270;73,34;149;276,53;976;159,83
Fattahi16;iterative;EASV1;954;1119,47;1293;78,71;161;281,43;483;99,87
Fattahi16;parallel;ASV1;1041;1177,57;1282;65,69;129;209,20;897;139,91
Fattahi17;iterative;MMASV1;1382;1518,90;1653;74,30;52;121,20;380;83,64
Fattahi17;parallel;ASV1;1392;1607,07;1754;72,57;253;347,47;585;81,77
Fattahi17;iterative;RBASV1;1342;1543,70;1696;92,21;206;343,80;623;131,62
Fattahi17;iterative;EASV1;1453;1575,07;1701;64,00;319;536,30;987;176,62
Fattahi17;parallel;MMASV1;1296;1508,90;1647;83,00;22;82,60;204;41,57
Fattahi17;parallel;RBASV1;1313;1534,87;1730;104,45;182;328,17;682;140,92
Fattahi17;parallel;EASV1;1311;1523,43;1686;88,40;292;526,20;1220;230,64
Fattahi17;iterative;greedy;1746;1746,00;1746;0,00;0;0,00;0;0,00
Fattahi17;iterative;ACSV1;1335;1539,67;1704;108,55;62;135,73;622;106,64
Fattahi17;iterative;ASV1;1433;1589,43;1753;76,77;280;442,17;1033;175,15
Fattahi17;parallel;ACSV1;1215;1510,33;1640;78,40;29;67,40;136;31,18
Fattahi18;iterative;greedy;1953;1953,00;1953;0,00;0;0,00;0;0,00
Fattahi18;parallel;ASV1;1446;1702,03;1963;113,44;351;517,80;1320;224,85
Fattahi18;iterative;RBASV1;1474;1658,03;1886;87,82;255;485,63;1072;210,57
Fattahi18;iterative;ACSV1;1431;1627,97;1835;97,08;81;180,33;822;136,18
Fattahi18;parallel;ACSV1;1463;1663,10;1957;110,51;35;78,00;156;35,92
Fattahi18;iterative;ASV1;1394;1682,47;1916;109,54;378;580,53;1441;220,19
Fattahi18;parallel;EASV1;1542;1662,43;1802;57,62;384;665,60;1773;338,96
Fattahi18;iterative;MMASV1;1477;1627,70;1781;79,27;73;167,20;350;74,68
Fattahi18;iterative;EASV1;1390;1654,30;1759;82,24;521;897,17;1758;306,46
Fattahi18;parallel;RBASV1;1524;1667,20;1862;89,78;213;371,97;1021;164,68
Fattahi18;parallel;MMASV1;1483;1623,00;1779;75,60;31;93,53;258;50,95
Fattahi19;parallel;EASV1;1855;2076,63;2332;124,97;752;1261,60;2833;527,60
Fattahi19;iterative;ASV1;2015;2160,87;2306;84,12;754;1019,17;1606;257,88
Fattahi19;parallel;ACSV1;1912;2092,27;2298;111,13;42;107,57;192;45,12
Fattahi19;iterative;greedy;1990;1990,00;1990;0,00;0;0,00;0;0,00
Fattahi19;parallel;ASV1;1948;2190,10;2344;110,07;685;904,30;1711;241,69
Fattahi19;iterative;RBASV1;1623;2057,23;2249;121,98;455;765,93;1322;238,08
Fattahi19;iterative;EASV1;1810;2061,00;2301;115,45;854;1385,30;2444;504,83
Fattahi19;iterative;MMASV1;1810;2070,70;2308;112,45;153;282,83;684;135,98
Fattahi19;parallel;MMASV1;1776;1998,83;2205;110,01;49;124,60;285;68,92
Fattahi19;parallel;RBASV1;1854;2049,67;2177;75,36;353;576,43;1327;224,00
Fattahi19;iterative;ACSV1;1672;2122,73;2363;144,43;128;245,30;555;98,16
