Makespan,Ellapsed(ms)
512,2354
536,1011
536,2282
533,2634
512,2455
489,1125
521,1444
514,2641
530,1823
503,2467
523,1452
524,1210
530,1583
500,1006
530,1389
505,2438
510,2196
483,1636
519,1071
538,1065
537,1314
513,2194
529,2059
546,1568
522,2048
517,1877
522,1372
520,1448
526,1249
512,2449
