Makespan,Ellapsed(ms)
242,727
244,745
236,246
231,504
237,583
241,434
235,283
231,474
241,227
247,670
224,322
245,336
232,391
236,427
233,566
235,561
234,333
230,253
239,378
240,190
229,306
244,174
233,292
238,213
235,389
232,347
231,366
241,292
250,480
243,213
