Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi1;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi1;parallel;ACSV0;86;86,00;86;0,00;4;6,63;36;5,62
Fattahi1;iterative;ACSV0;86;86,00;86;0,00;6;7,57;26;3,61
Fattahi10;iterative;greedy;608;608,00;608;0,00;0;0,00;0;0,00
Fattahi10;iterative;ACSV0;692;692,00;692;0,00;26;57,47;156;33,11
Fattahi10;parallel;ACSV0;692;692,00;692;0,00;20;32,30;68;10,24
Fattahi11;parallel;ACSV0;525;600,07;692;43,40;35;76,53;154;29,04
Fattahi11;iterative;ACSV0;510;602,33;678;44,11;70;143,80;343;61,72
Fattahi11;iterative;greedy;783;783,00;783;0,00;0;0,00;0;0,00
Fattahi12;iterative;ACSV0;522;611,47;718;50,95;76;169,93;453;85,45
Fattahi12;iterative;greedy;630;630,00;630;0,00;0;0,00;0;0,00
Fattahi12;parallel;ACSV0;502;607,63;695;45,86;29;85,57;179;33,88
Fattahi13;parallel;ACSV0;623;734,60;814;49,99;47;105,20;305;55,38
Fattahi13;iterative;ACSV0;638;723,13;805;41,76;125;271,53;448;94,87
Fattahi13;iterative;greedy;891;891,00;891;0,00;0;0,00;0;0,00
Fattahi14;parallel;ACSV0;715;863,63;971;64,22;68;143,03;272;59,15
Fattahi14;iterative;ACSV0;714;859,67;978;58,99;218;363,87;686;130,57
Fattahi14;iterative;greedy;889;889,00;889;0,00;0;0,00;0;0,00
Fattahi15;iterative;greedy;875;875,00;875;0,00;0;0,00;0;0,00
Fattahi15;parallel;ACSV0;735;873,73;1020;66,97;55;121,50;236;54,26
Fattahi15;iterative;ACSV0;771;874,13;1058;67,21;176;309,97;473;84,58
Fattahi16;parallel;ACSV0;892;1027,90;1174;81,75;74;152,57;437;77,07
Fattahi16;iterative;ACSV0;901;1065,83;1176;71,64;235;421,53;924;181,05
Fattahi16;iterative;greedy;1294;1294,00;1294;0,00;0;0,00;0;0,00
Fattahi17;iterative;ACSV0;1269;1515,23;1702;96,51;370;658,30;1414;251,37
Fattahi17;iterative;greedy;1746;1746,00;1746;0,00;0;0,00;0;0,00
Fattahi17;parallel;ACSV0;1376;1499,33;1636;73,08;107;226,40;563;91,43
Fattahi18;iterative;greedy;1953;1953,00;1953;0,00;0;0,00;0;0,00
Fattahi18;parallel;ACSV0;1302;1548,33;1738;104,94;159;322,73;726;124,92
Fattahi18;iterative;ACSV0;1353;1561,23;1754;102,61;583;1017,50;1873;318,85
Fattahi19;iterative;greedy;1990;1990,00;1990;0,00;0;0,00;0;0,00
Fattahi19;iterative;ACSV0;1871;2009,93;2195;96,93;943;1645,90;2888;529,89
Fattahi19;parallel;ACSV0;1705;1975,20;2208;128,17;251;434,97;1293;222,87
Fattahi2;parallel;ACSV0;107;107,00;107;0,00;4;6,00;35;5,56
Fattahi2;iterative;ACSV0;107;107,00;107;0,00;5;7,40;24;3,64
Fattahi2;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi20;iterative;greedy;1990;1990,00;1990;0,00;0;0,03;1;0,18
Fattahi20;parallel;ACSV0;2130;2395,47;2871;161,23;317;542,53;963;190,82
Fattahi20;iterative;ACSV0;1977;2401,70;2737;184,43;1252;1974,83;3072;568,69
Fattahi3;iterative;ACSV0;221;227,83;261;9,60;19;31,17;48;7,59
Fattahi3;iterative;greedy;316;316,00;316;0,00;0;0,00;0;0,00
Fattahi3;parallel;ACSV0;221;224,47;261;9,91;6;9,73;43;6,42
Fattahi4;iterative;greedy;421;421,00;421;0,00;0;0,00;0;0,00
Fattahi4;iterative;ACSV0;367;371,83;396;10,99;11;19,67;33;5,53
Fattahi4;parallel;ACSV0;367;367,00;367;0,00;7;10,60;37;5,63
Fattahi5;iterative;ACSV0;128;134,43;143;6,26;12;22,47;38;6,93
Fattahi5;parallel;ACSV0;128;131,57;143;5,74;8;12,67;53;8,11
Fattahi5;iterative;greedy;119;119,00;119;0,00;0;0,00;0;0,00
Fattahi6;iterative;ACSV0;320;331,43;367;13,70;14;36,83;86;17,12
Fattahi6;parallel;ACSV0;320;331,90;367;11,76;11;19,27;43;7,07
Fattahi6;iterative;greedy;560;560,00;560;0,00;0;0,00;0;0,00
Fattahi7;iterative;greedy;470;470,00;470;0,00;0;0,00;0;0,00
Fattahi7;iterative;ACSV0;397;421,07;451;26,74;18;49,37;128;26,64
Fattahi7;parallel;ACSV0;397;408,13;451;21,88;17;29,30;50;8,23
Fattahi8;iterative;greedy;487;487,00;487;0,00;0;0,00;0;0,00
Fattahi8;iterative;ACSV0;267;274,40;283;4,78;21;44,10;108;20,35
Fattahi8;parallel;ACSV0;267;275,50;283;5,20;17;23,90;45;6,26
Fattahi9;iterative;greedy;277;277,00;277;0,00;0;0,00;0;0,00
Fattahi9;parallel;ACSV0;220;231,30;250;9,16;12;20,37;51;7,73
Fattahi9;iterative;ACSV0;220;232,47;257;9,91;15;41,47;78;17,51
