Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
BrandimarteMk1;parallel;MMASV1;72;80,93;87;3,64;59;122,90;242;51,69
BrandimarteMk1;parallel;ACSV1;75;85,17;92;3,30;54;99,53;262;53,85
BrandimarteMk1;iterative;EASV1;70;82,90;96;5,93;1468;2137,47;3711;641,71
BrandimarteMk1;iterative;ASV1;75;88,33;100;5,50;1346;1544,30;2071;228,11
BrandimarteMk1;iterative;RBASV1;71;80,63;87;4,44;959;1505,33;2673;454,59
BrandimarteMk1;iterative;ACSV1;74;84,60;92;4,75;189;303,43;649;117,99
BrandimarteMk1;parallel;EASV1;75;83,63;90;4,44;1379;2022,50;3970;764,27
BrandimarteMk1;iterative;MMASV1;72;80,17;89;4,49;193;305,97;562;107,75
BrandimarteMk1;parallel;ASV1;76;86,63;96;4,61;1259;1566,47;2504;312,38
BrandimarteMk1;parallel;RBASV1;69;80,27;93;5,57;671;1008,70;1648;303,34
BrandimarteMk11;parallel;EASV1;883;969,53;1009;34,35;68517;114800,13;204185;37462,03
BrandimarteMk11;iterative;ASV1;909;943,47;990;23,92;122016;190797,67;291771;52947,10
BrandimarteMk11;parallel;MMASV1;943;987,67;1038;27,10;2289;3504,97;6541;1160,48
BrandimarteMk11;parallel;ASV1;896;942,10;976;19,99;71008;136668,83;183705;32204,96
BrandimarteMk11;iterative;RBASV1;813;927,03;985;35,21;21974;53477,37;87498;19841,53
BrandimarteMk11;iterative;EASV1;870;947,37;1012;35,21;90136;184651,73;346758;60202,28
BrandimarteMk11;iterative;ACSV1;975;1067,93;1127;35,00;2716;3116,70;3628;297,61
BrandimarteMk11;parallel;RBASV1;879;932,13;974;26,96;16928;31761,93;51188;11666,23
BrandimarteMk11;parallel;ACSV1;972;1068,37;1140;33,34;774;924,40;1472;162,98
BrandimarteMk11;iterative;MMASV1;920;990,20;1035;25,90;8203;13502,03;31910;4889,91
BrandimarteMk12;iterative;RBASV1;867;903,93;945;20,09;13944;31066,20;53622;11549,13
BrandimarteMk12;iterative;ASV1;865;925,23;958;22,58;69903;113595,97;171847;30332,68
BrandimarteMk12;parallel;RBASV1;865;909,77;970;21,75;10686;20021,60;36566;7001,14
BrandimarteMk12;iterative;EASV1;833;901,90;956;31,98;65410;123212,53;191884;31055,53
BrandimarteMk12;iterative;MMASV1;899;959,23;1001;25,05;4238;7486,27;16435;2948,05
BrandimarteMk12;parallel;EASV1;855;909,23;969;25,10;53654;99811,17;177455;28040,46
BrandimarteMk12;parallel;MMASV1;912;954,83;994;20,62;1219;2082,50;3232;529,98
BrandimarteMk12;parallel;ACSV1;948;1034,73;1081;33,06;406;509,43;955;115,01
BrandimarteMk12;iterative;ACSV1;953;1022,10;1086;29,91;1440;1794,20;2891;323,59
BrandimarteMk12;parallel;ASV1;860;918,13;954;21,84;63986;93806,03;148856;23915,25
BrandimarteMk14;iterative;ACSV1;1454;1582,93;1667;50,88;2533;2929,80;3980;335,33
BrandimarteMk14;iterative;ASV1;1308;1410,50;1459;28,09;192847;306304,43;496170;83881,87
BrandimarteMk14;parallel;ASV1;1363;1418,07;1478;27,85;147110;226212,50;336886;54722,39
BrandimarteMk14;parallel;MMASV1;1446;1535,50;1594;35,65;1864;2911,53;5563;833,53
BrandimarteMk14;parallel;RBASV1;1296;1374,50;1461;43,49;26017;58533,50;87067;18381,17
BrandimarteMk14;parallel;ACSV1;1423;1596,50;1688;58,27;679;867,83;1335;168,77
BrandimarteMk14;parallel;EASV1;1306;1398,27;1463;33,55;175079;286678,57;490065;93316,45
BrandimarteMk14;iterative;MMASV1;1467;1541,33;1603;33,16;6557;11034,50;17421;3404,18
BrandimarteMk14;iterative;RBASV1;1303;1391,30;1475;38,43;41790;81457,67;125646;22397,75
BrandimarteMk14;iterative;EASV1;1311;1411,10;1489;42,85;212594;327324,47;458410;65388,42
BrandimarteMk15;iterative;ASV1;777;832,47;894;26,09;420949;922075,40;1607735;271609,88
BrandimarteMk15;parallel;ACSV1;917;996,27;1075;41,35;2424;2685,20;3305;216,31
BrandimarteMk15;iterative;ACSV1;869;981,27;1045;41,93;9671;10540,27;12796;745,72
BrandimarteMk15;iterative;RBASV1;777;839,60;919;33,86;96163;222329,23;380903;85677,68
BrandimarteMk15;parallel;ASV1;757;829,87;875;27,74;446732;850888,90;1282058;232314,62
BrandimarteMk15;iterative;MMASV1;836;897,97;937;23,70;26648;47032,80;91997;17338,26
BrandimarteMk15;parallel;RBASV1;761;839,87;909;35,35;84166;184133,57;306524;62827,00
BrandimarteMk15;parallel;EASV1;808;863,83;937;28,45;436716;815503,50;1315671;273391,23
BrandimarteMk15;iterative;EASV1;778;858,53;898;28,85;469954;860022,63;1447926;247466,32
BrandimarteMk15;parallel;MMASV1;852;891,83;940;20,48;7460;11969,63;21599;4014,65
