Makespan,Ellapsed(ms)
1431,1212
1314,819
1441,886
1421,826
1334,887
1381,878
1247,869
1324,874
1405,817
1346,816
1429,821
1383,878
1427,872
1378,827
1416,816
1377,815
1309,824
1419,886
1438,815
1422,941
1326,807
1392,813
1369,1010
1365,944
1357,814
1289,894
1381,870
1379,816
1398,816
1444,948
