Makespan,Ellapsed(ms)
675,119
688,86
731,66
725,73
617,242
660,234
617,224
679,127
617,215
613,114
727,49
679,89
644,40
678,50
675,72
689,36
608,59
748,42
727,38
677,73
605,36
671,51
651,54
675,27
644,55
713,34
686,48
652,35
689,27
507,40
