Makespan,Ellapsed(ms)
264,22
283,5
313,4
253,11
288,7
253,7
253,9
280,6
253,7
313,6
270,4
262,10
283,5
256,4
313,7
272,5
275,5
263,7
256,5
270,5
263,5
270,6
253,4
262,5
297,3
301,5
289,5
253,5
307,3
256,4
