Makespan,Ellapsed(ms)
554,37
530,10
572,11
498,12
563,11
553,15
579,14
554,13
562,15
554,11
554,12
526,14
560,10
534,10
554,18
495,8
530,12
554,25
548,12
554,30
518,20
565,22
565,17
547,25
540,14
565,19
567,16
522,23
548,11
554,29
