instance,speedup
MK1,1.8969555035128804
MK2,1.7095357590966123
MK3,1.9599495427309996
MK4,1.8599496221662466
MK5,1.7130712008501594
MK6,2.297831875237733
MK7,2.0312822275696116
MK8,2.1784615384615384
MK9,2.3146964856230032
MK10,2.7241863732147036
MK11,2.4076190476190478
MK12,2.2541617122473245
MK13,2.8619768477292964
MK14,2.687885884607196
MK15,2.799680255795364
