instance,algorithm,mean,ci_lower,ci_upper,ci_width
MK1,ACSi,58.46666666666667,57.43333333333333,59.56666666666667,2.13333333333334
MK1,ACSp,60.86666666666667,59.766666666666666,62.03333333333333,2.2666666666666657
MK1,ECT,73.0,73.0,73.0,0.0
MK2,ACSi,52.63333333333333,51.46666666666667,53.766666666666666,2.299999999999997
MK2,ACSp,54.56666666666667,53.5,55.6,2.1000000000000014
MK2,ECT,69.0,69.0,69.0,0.0
MK3,ACSi,308.8,304.43333333333334,313.3333333333333,8.899999999999977
MK3,ACSp,321.8666666666667,316.93333333333334,326.5,9.566666666666663
MK3,ECT,501.0,501.0,501.0,0.0
MK4,ACSi,113.93333333333334,111.76666666666667,116.03333333333333,4.266666666666666
MK4,ACSp,117.76666666666667,115.63250000000001,119.83333333333333,4.200833333333321
MK4,ECT,109.0,109.0,109.0,0.0
MK5,ACSi,265.2,262.26666666666665,268.1333333333333,5.866666666666674
MK5,ACSp,270.26666666666665,267.0325,273.56666666666666,6.534166666666636
MK5,ECT,329.0,329.0,329.0,0.0
MK6,ACSi,144.36666666666667,142.13333333333333,146.63333333333333,4.5
MK6,ACSp,149.03333333333333,146.63333333333333,151.43333333333334,4.800000000000011
MK6,ECT,158.0,158.0,158.0,0.0
MK7,ACSi,237.63333333333333,233.13333333333333,241.63333333333333,8.5
MK7,ACSp,245.46666666666667,242.66666666666666,248.26666666666668,5.600000000000023
MK7,ECT,312.0,312.0,312.0,0.0
MK8,ACSi,723.2666666666667,716.0666666666667,730.5,14.43333333333328
MK8,ACSp,733.4,725.6325,741.1666666666666,15.534166666666579
MK8,ECT,862.0,862.0,862.0,0.0
MK9,ACSi,632.5,623.1991666666668,641.7,18.500833333333276
MK9,ACSp,660.3,651.9666666666667,668.7008333333333,16.734166666666624
MK9,ECT,689.0,689.0,689.0,0.0
MK10,ACSi,543.9,534.9666666666667,553.0333333333333,18.066666666666606
MK10,ACSp,558.4666666666667,552.2,564.5,12.299999999999955
MK10,ECT,601.0,601.0,601.0,0.0
MK11,ACSi,935.4,922.6666666666666,947.6333333333333,24.966666666666697
MK11,ACSp,938.9,926.6991666666668,951.0008333333333,24.301666666666506
MK11,ECT,947.0,947.0,947.0,0.0
MK12,ACSi,819.0333333333333,802.6325,835.2016666666667,32.56916666666666
MK12,ACSp,830.6333333333333,819.0658333333334,842.2674999999999,23.201666666666483
MK12,ECT,915.0,915.0,915.0,0.0
MK13,ACSi,902.6333333333333,889.6658333333334,915.5,25.834166666666647
MK13,ACSp,923.6333333333333,911.7,935.4008333333333,23.700833333333208
MK13,ECT,811.0,811.0,811.0,0.0
MK14,ACSi,1149.7333333333333,1136.7316666666668,1163.2675,26.53583333333313
MK14,ACSp,1160.8333333333333,1146.8991666666668,1173.7341666666666,26.83499999999981
MK14,ECT,1259.0,1259.0,1259.0,0.0
MK15,ACSi,835.6666666666666,823.8658333333334,847.6674999999999,23.801666666666506
MK15,ACSp,878.9666666666667,866.3991666666667,890.2016666666667,23.80250000000001
MK15,ECT,897.0,897.0,897.0,0.0
