Makespan,Ellapsed(ms)
1162,139
1272,48
1272,88
1081,69
1309,41
1224,166
1139,102
1238,95
1325,52
1236,40
1240,40
1253,55
1222,40
1313,19
1334,22
1143,69
1351,23
1228,71
1228,32
1153,69
1177,45
1328,26
1295,35
1252,61
1286,24
1270,17
1279,46
1288,27
1288,40
1238,48
