Makespan,Ellapsed(ms)
397,14
397,4
417,2
397,3
407,5
397,6
404,4
407,2
397,2
422,3
397,3
407,7
397,4
407,6
407,5
397,4
422,4
397,4
447,6
407,5
397,6
407,4
397,4
397,5
397,5
397,5
405,4
397,8
432,6
412,6
