Makespan,Ellapsed(ms)
1515,665
1587,454
1500,459
1538,201
1562,302
1420,237
1554,348
1539,206
1407,358
1492,468
1730,223
1564,205
1587,227
1628,181
1594,226
1480,362
1579,247
1587,429
1558,500
1394,174
1667,193
1510,197
1530,254
1319,295
1469,245
1390,405
1558,448
1564,323
1548,323
1372,215
