Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
BrandimarteMk14;parallel;ASV3;992;1049,37;1095;24,32;547;1076,10;2582;449,58
BrandimarteMk14;iterative;RBASV3;851;944,50;1007;30,97;1683;3844,03;6110;1056,49
BrandimarteMk14;iterative;greedy;1952;1952,00;1952;0,00;2;2,23;4;0,50
BrandimarteMk14;parallel;MMASV3;967;1035,47;1076;26,92;471;958,33;2017;441,72
BrandimarteMk14;iterative;MMASV3;966;1022,73;1081;31,27;1535;3296,10;6195;1311,73
BrandimarteMk14;iterative;ASV3;994;1047,27;1115;30,60;1590;2807,37;4280;759,98
BrandimarteMk15;parallel;RBASV3;645;692,83;733;22,02;832;1487,40;2387;493,26
BrandimarteMk15;iterative;EASV3;681;704,03;731;13,59;2414;4184,97;8696;1440,11
BrandimarteMk15;parallel;ASV3;697;731,90;773;22,09;787;1089,03;1500;182,04
BrandimarteMk15;iterative;MMASV3;699;758,20;822;30,64;2014;4661,67;7699;1538,68
BrandimarteMk15;iterative;ASV3;661;726,73;763;22,32;2418;3208,60;5025;602,54
BrandimarteMk15;iterative;greedy;1424;1424,00;1424;0,00;2;2,33;4;0,55
BrandimarteMk15;parallel;EASV3;646;701,77;739;19,55;884;1483,77;2795;560,21
BrandimarteMk15;iterative;ACSV3;755;848,37;935;40,64;692;778,37;1343;117,33
BrandimarteMk15;parallel;MMASV3;702;755,13;815;28,72;617;1563,83;2613;660,07
BrandimarteMk15;iterative;RBASV3;652;689,90;724;17,47;2818;4632,20;7451;1526,30
BrandimarteMk15;parallel;ACSV3;817;892,97;971;31,60;188;229,83;524;84,01
BrandimarteMk2;iterative;ACSV3;47;51,57;55;2,03;59;119,53;366;80,56
BrandimarteMk2;parallel;RBASV3;39;44,70;51;3,01;26;103,13;352;82,06
BrandimarteMk2;iterative;RBASV3;40;44,67;48;2,44;82;176,97;732;123,32
BrandimarteMk2;parallel;MMASV3;48;55,03;60;3,01;33;87,93;396;71,48
BrandimarteMk2;iterative;EASV3;40;45,57;51;3,04;73;152,97;416;89,44
BrandimarteMk2;iterative;greedy;68;68,00;68;0,00;0;0,00;0;0,00
BrandimarteMk2;parallel;ACSV3;49;54,37;60;2,98;39;65,17;96;16,02
BrandimarteMk2;parallel;EASV3;40;44,83;49;2,39;31;90,07;249;59,27
BrandimarteMk2;iterative;ASV3;42;44,93;49;1,86;82;148,50;527;93,45
BrandimarteMk2;iterative;MMASV3;49;56,13;63;3,18;55;125,80;458;94,12
BrandimarteMk2;parallel;ASV3;39;44,17;47;1,91;31;93,20;278;58,96
BrandimarteMk3;parallel;MMASV3;270;297,10;318;11,11;92;248,30;975;161,23
BrandimarteMk3;parallel;RBASV3;256;269,07;289;7,58;155;271,90;740;150,33
BrandimarteMk3;parallel;ASV3;267;281,63;291;6,83;125;186,13;599;108,87
BrandimarteMk3;iterative;RBASV3;245;262,47;277;8,14;414;706,77;1132;180,48
BrandimarteMk3;iterative;ACSV3;271;315,50;339;17,57;198;277,13;645;95,72
BrandimarteMk3;parallel;ACSV3;289;320,93;351;15,43;57;112,70;337;83,38
BrandimarteMk3;iterative;EASV3;248;270,33;292;11,40;353;633,67;1121;231,51
BrandimarteMk3;iterative;greedy;549;549,00;549;0,00;0;0,53;2;0,57
BrandimarteMk3;parallel;EASV3;248;270,60;301;12,86;129;259,73;843;152,53
BrandimarteMk3;iterative;MMASV3;271;294,03;330;15,66;292;668,27;1094;227,04
