Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
BrandimarteMk1;iterative;greedy;68;68,00;68;0,00;0;0,00;0;0,00
BrandimarteMk1;parallel;ASV2;52;56,40;62;2,30;20;72,57;235;52,36
BrandimarteMk1;iterative;MMASV2;51;60,97;69;3,65;30;92,53;546;101,99
BrandimarteMk1;iterative;EASV2;52;56,83;62;2,41;36;94,63;236;52,31
BrandimarteMk1;parallel;EASV2;49;56,10;61;2,63;19;72,07;162;45,09
BrandimarteMk1;iterative;ASV2;50;56,77;65;3,05;36;93,30;468;90,86
BrandimarteMk1;parallel;MMASV2;50;61,03;71;4,04;14;67,47;421;99,70
BrandimarteMk1;parallel;ACSV2;56;60,87;70;3,28;25;42,70;96;14,23
BrandimarteMk1;parallel;RBASV2;50;55,57;59;2,10;21;80,37;368;88,97
BrandimarteMk1;iterative;RBASV2;52;55,87;61;2,26;35;97,07;434;84,89
BrandimarteMk1;iterative;ACSV2;52;58,47;65;3,15;31;81,00;241;50,44
BrandimarteMk10;iterative;greedy;826;826,00;826;0,00;1;1,33;3;0,55
BrandimarteMk10;parallel;RBASV2;389;420,97;442;12,58;335;913,43;1918;367,35
BrandimarteMk10;parallel;MMASV2;447;487,40;516;19,48;267;684,10;1525;338,99
BrandimarteMk10;iterative;ACSV2;501;543,90;588;25,51;331;387,83;791;80,88
BrandimarteMk10;iterative;EASV2;391;422,17;454;15,27;1108;1732,33;2903;467,77
BrandimarteMk10;iterative;MMASV2;421;485,60;518;21,85;648;1543,33;2975;629,16
BrandimarteMk10;iterative;RBASV2;388;414,70;445;12,79;927;2114,40;3797;820,40
BrandimarteMk10;parallel;EASV2;393;418,80;459;16,58;466;785,97;1454;240,83
BrandimarteMk10;parallel;ACSV2;524;558,47;596;17,35;99;142,37;287;61,39
BrandimarteMk10;parallel;ASV2;395;412,03;434;10,56;497;883,67;1631;270,87
BrandimarteMk10;iterative;ASV2;397;415,40;435;8,77;1252;2133,63;3315;611,48
BrandimarteMk11;parallel;ACSV2;869;938,90;999;33,46;68;105,00;194;45,39
BrandimarteMk11;iterative;ASV2;792;830,03;857;14,41;732;1162,43;2091;325,11
