Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi15;iterative;ACSV1;559;818,70;986;107,50;29;97,30;303;72,78
Fattahi15;parallel;EASV1;730;876,27;1026;73,69;93;183,83;729;112,87
Fattahi15;iterative;greedy;875;875,00;875;0,00;0;0,00;0;0,00
Fattahi15;parallel;ASV1;793;931,43;1067;64,92;102;177,57;610;99,95
Fattahi15;iterative;EASV1;769;891,50;985;54,95;99;183,90;337;70,48
Fattahi15;parallel;MMASV1;687;879,60;977;70,43;16;43,27;81;19,40
Fattahi15;iterative;ASV1;747;931,50;1076;77,29;89;155,10;366;76,43
Fattahi15;parallel;RBASV1;784;892,13;1024;60,51;63;135,67;505;105,92
Fattahi15;parallel;ACSV1;664;852,20;1024;99,95;16;49,37;119;25,44
Fattahi15;iterative;MMASV1;742;884,97;1014;58,99;21;61,77;167;40,43
Fattahi15;iterative;RBASV1;776;891,03;984;51,70;72;161,63;823;134,10
Fattahi16;iterative;ASV1;901;1105,73;1260;87,94;141;201,20;444;80,06
Fattahi16;iterative;MMASV1;862;1059,97;1190;71,33;41;83,40;311;59,07
Fattahi16;parallel;MMASV1;835;1059,77;1182;73,85;22;54,00;131;27,92
Fattahi16;iterative;RBASV1;916;1093,90;1219;70,86;101;184,37;632;97,40
Fattahi16;iterative;ACSV1;822;1026,30;1281;91,74;42;103,53;347;62,45
Fattahi16;parallel;ACSV1;729;1029,93;1268;111,81;20;50,70;136;31,32
Fattahi16;parallel;RBASV1;971;1099,27;1257;69,80;87;167,23;462;97,11
Fattahi16;iterative;greedy;1294;1294,00;1294;0,00;0;0,00;0;0,00
Fattahi16;parallel;EASV1;952;1099,37;1231;66,94;153;254,83;602;87,87
Fattahi16;iterative;EASV1;782;1073,47;1207;94,79;158;294,07;698;113,81
Fattahi16;parallel;ASV1;942;1157,87;1303;87,64;128;191,23;722;107,74
Fattahi17;iterative;MMASV1;1415;1518,87;1652;55,75;51;114,47;335;67,93
Fattahi17;parallel;ASV1;1328;1570,73;1699;85,79;256;388,00;568;108,76
Fattahi17;iterative;RBASV1;1316;1527,67;1701;94,79;239;420,30;733;112,97
Fattahi17;iterative;EASV1;1222;1491,10;1670;97,99;307;572,90;1044;211,03
Fattahi17;parallel;MMASV1;1345;1485,47;1643;74,66;35;79,63;217;35,74
Fattahi17;parallel;RBASV1;1319;1524,73;1730;89,78;174;312,33;665;120,59
