Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi1;iterative;ACSV3;66;66,00;66;0,00;4;5,43;27;4,19
Fattahi1;iterative;EASV3;66;78,40;123;14,25;1;1,77;23;4,01
Fattahi1;parallel;ASV3;66;78,63;98;12,32;1;3,10;28;4,76
Fattahi1;parallel;MMASV3;66;68,00;86;6,10;2;3,93;28;4,65
Fattahi1;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi1;parallel;EASV3;66;77,27;98;12,64;1;2,70;27;4,65
Fattahi1;parallel;ACSV3;66;67,33;86;5,07;3;4,37;30;4,87
Fattahi1;iterative;ASV3;66;73,17;91;10,40;2;3,17;22;3,61
Fattahi1;iterative;MMASV3;66;66,00;66;0,00;1;2,30;21;3,62
Fattahi1;parallel;RBASV3;66;72,53;91;10,22;1;3,20;30;5,14
Fattahi1;iterative;RBASV3;66;70,10;89;8,36;1;4,03;26;4,26
Fattahi10;iterative;greedy;608;608,00;608;0,00;0;0,00;0;0,00
Fattahi10;parallel;RBASV3;516;546,57;608;26,29;6;13,73;43;7,22
Fattahi10;parallel;EASV3;516;553,07;698;37,66;6;11,30;34;5,27
Fattahi10;iterative;MMASV3;516;563,97;636;34,91;7;15,83;32;7,29
Fattahi10;iterative;RBASV3;516;559,00;617;32,86;7;14,93;36;6,66
Fattahi10;parallel;ACSV3;533;545,43;605;19,60;7;14,60;47;7,68
Fattahi10;iterative;ACSV3;516;541,67;582;20,37;14;26,07;46;9,25
Fattahi10;parallel;ASV3;516;566,00;676;57,95;6;12,70;38;6,61
Fattahi10;iterative;ASV3;516;553,60;673;43,24;7;14,97;41;6,26
Fattahi10;parallel;MMASV3;533;574,77;654;34,51;6;12,93;35;5,82
Fattahi10;iterative;EASV3;516;543,33;608;25,77;7;12,77;31;6,06
Fattahi11;parallel;RBASV3;508;550,00;625;24,72;10;20,90;56;10,17
Fattahi11;iterative;greedy;783;783,00;783;0,00;0;0,00;0;0,00
