instance,speedup
SFJS1,0.7387387387387387
SFJS2,0.9489795918367347
SFJS3,1.164179104477612
SFJS4,0.9861111111111112
SFJS5,1.48
SFJS6,1.4010416666666665
SFJS7,1.205128205128205
SFJS8,1.415686274509804
SFJS9,1.1463414634146343
SFJS10,1.3183098591549294
MFJS1,1.897674418604651
MFJS2,1.8978388998035367
MFJS3,2.0868824531516186
MFJS4,1.8158640226628895
MFJS5,1.8686730506155949
MFJS6,1.8539944903581267
MFJS7,1.978391356542617
MFJS8,1.8561368209255533
MFJS9,1.5841363973313565
MFJS10,1.8410794602698648
