Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Ribeiro1;parallel;ASV3;200490;200490,00;200490;0,00;18;23,07;47;5,57
Ribeiro1;iterative;MMASV3;200490;200490,00;200490;0,00;28;47,10;66;6,18
Ribeiro1;iterative;RBASV3;200490;200490,00;200490;0,00;12;46,80;74;18,70
Ribeiro1;iterative;ACSV3;200490;200490,00;200490;0,00;27;60,60;108;31,29
Ribeiro1;parallel;MMASV3;200490;200490,00;200490;0,00;25;27,93;55;5,51
Ribeiro1;parallel;RBASV3;200490;200490,00;200490;0,00;30;35,20;65;7,25
Ribeiro1;parallel;ACSV3;200490;200490,00;200490;0,00;22;29,90;58;6,60
Ribeiro1;iterative;ASV3;200490;200490,00;200490;0,00;34;42,47;62;5,53
Ribeiro1;parallel;EASV3;200490;200490,00;200490;0,00;19;24,93;51;5,92
Ribeiro1;iterative;greedy;241513;241513,00;241513;0,00;0;0,00;0;0,00
Ribeiro1;iterative;EASV3;200490;200490,00;200490;0,00;34;42,93;60;6,36
Ribeiro2;iterative;ASV3;2501785;2567985,03;2621104;25698,53;109408;132631,67;181287;15028,85
Ribeiro2;parallel;EASV3;2412283;2488011,90;2569930;41522,51;30692;71236,77;119415;22691,08
Ribeiro2;parallel;RBASV3;2428430;2492649,10;2562662;30630,76;27599;52956,17;97931;19775,39
Ribeiro2;parallel;ASV3;2540644;2571955,30;2610163;19102,80;31997;40556,83;53904;5399,24
Ribeiro2;iterative;EASV3;2429099;2495503,93;2548734;33766,90;119803;238001,07;367422;63718,39
Ribeiro2;iterative;MMASV3;2512973;2573991,90;2626894;26395,25;94321;186992,37;303803;50624,20
Ribeiro2;parallel;ACSV3;2608001;2696650,33;2868138;62228,61;2121;2398,87;2835;182,58
Ribeiro2;iterative;RBASV3;2425882;2483611,10;2535263;25447,48;110822;239029,93;377307;82877,85
Ribeiro2;iterative;greedy;3649182;3649182,00;3649182;0,00;12;18,87;41;8,99
Ribeiro2;parallel;MMASV3;2507139;2567486,43;2621539;26014,84;23667;44029,83;72372;12953,42
Ribeiro2;iterative;ACSV3;2585786;2697006,97;2859134;57260,85;8593;9378,23;12549;748,89
Ribeiro3;parallel;ACSV3;713777;724995,90;726948;2141,25;900;1029,93;1638;168,79
Ribeiro3;parallel;RBASV3;695253;713158,30;725344;8080,68;17865;26856,07;50876;7967,24
Ribeiro3;parallel;EASV3;695253;713187,20;725344;10896,28;19587;27297,90;54279;8697,45
Ribeiro3;iterative;MMASV3;694171;710402,80;725344;9634,46;48801;83356,43;127750;24087,96
Ribeiro3;iterative;greedy;730987;730987,00;730987;0,00;12;18,60;36;8,43
Ribeiro3;iterative;ACSV3;725344;725344,00;725344;0,00;2874;3372,23;6360;721,36
Ribeiro3;iterative;RBASV3;694071;714864,57;725344;9861,12;60607;76841,23;116368;19422,66
Ribeiro3;iterative;EASV3;693748;715297,27;725344;9450,31;64250;93128,87;182888;32989,33
Ribeiro3;parallel;MMASV3;683686;709893,10;725344;11459,04;13970;23617,57;44337;8483,00
Ribeiro3;parallel;ASV3;695253;717618,13;725344;7894,48;20188;26815,57;40457;7261,85
Ribeiro3;iterative;ASV3;706640;720441,77;725344;5829,67;64601;79012,40;140480;20758,54
