Makespan,Ellapsed(ms)
49,272
53,201
53,167
53,183
48,172
53,130
56,142
53,71
47,61
58,71
55,66
54,61
57,50
50,65
49,45
50,51
55,47
55,49
56,104
54,82
52,53
52,56
52,55
47,58
53,56
60,68
54,49
49,97
54,84
48,59
