Makespan,Ellapsed(ms)
1875,353
1894,448
1735,257
1816,136
1684,137
1837,105
1836,109
1793,105
1717,101
1739,90
1959,94
1868,114
1897,111
1790,90
1747,100
1858,97
1664,92
1745,105
1851,110
1766,98
1824,94
1868,91
1729,91
1812,89
1761,91
1895,97
1822,113
1753,89
1851,97
1861,92
