Makespan,Ellapsed(ms)
2171,1583
2011,473
1952,877
1974,1266
2035,762
2222,588
1992,1196
2022,846
2140,738
1692,955
2212,474
2085,667
2041,869
2022,469
2018,968
2245,798
2035,859
2096,682
2082,835
2087,474
2163,502
2072,651
2275,580
2048,927
1997,650
2038,614
2111,1113
2103,792
2154,1006
2157,937
