Makespan,Ellapsed(ms)
56,63
55,40
53,53
57,41
54,53
57,49
57,53
53,67
51,51
49,57
52,77
54,66
55,70
51,52
56,59
61,53
54,44
59,46
56,74
53,51
56,46
51,41
57,43
56,47
50,49
49,38
58,81
58,40
53,43
56,47
