Makespan,Ellapsed(ms)
3123,585
3014,590
3234,398
2999,266
3234,272
3169,266
3069,251
3237,268
3327,282
3379,245
3086,246
3080,249
3211,247
3431,267
3007,248
3141,251
3091,247
3121,242
3143,248
3304,263
3060,251
3121,245
3350,301
3176,244
3265,248
3315,251
3052,246
3300,248
3074,245
3278,285
