Makespan,Ellapsed(ms)
90,1630
82,1259
94,1748
92,1551
76,1559
86,1464
86,1755
88,1567
84,2504
88,1347
85,1557
82,1264
85,2399
80,1358
90,1558
88,1550
86,1265
80,1639
88,1452
90,1443
92,1637
88,2208
96,1559
89,1636
90,1349
87,1272
80,1271
87,1562
80,1276
90,1355
