Makespan,Ellapsed(ms)
1015,28992
996,29033
1005,33439
967,24312
996,42095
980,25763
1044,26110
953,41584
990,29721
928,33211
1037,31328
1052,24021
981,28076
1033,44032
1008,24170
1005,31359
1017,37504
942,39976
1030,28462
1004,30221
1029,33229
1005,26253
940,24095
964,29685
948,28928
967,26403
1014,24006
1057,25978
933,23950
1038,24334
