Makespan,Ellapsed(ms)
1928,722
1998,306
1984,238
1795,263
1939,226
2003,224
2032,225
1960,349
1953,244
1976,299
1882,228
1970,363
1920,242
1941,243
1800,258
1830,240
2078,223
1766,229
1909,244
1988,227
1923,259
2008,226
1969,241
1899,242
1957,286
1908,273
1929,263
1956,293
1989,253
1892,252
